w_cpu,w_ram,w_bw,w_lat,w_dq,Duration_s,Final_Accuracy,Final_Loss
0.1,0.1,0.1,0.1,0.6,1211,0.333404,1.780835
0.1,0.1,0.1,0.2,0.5,1100,0.369783,1.731046
0.1,0.1,0.1,0.3,0.4,1191,0.386957,1.675964
0.1,0.1,0.1,0.4,0.3,1055,0.368261,1.777854
0.1,0.1,0.1,0.5,0.2,1129,0.406522,1.664761
0.1,0.1,0.1,0.6,0.1,1061,0.341739,1.709836
0.1,0.1,0.2,0.1,0.5,1160,0.385000,1.674026
0.1,0.1,0.2,0.2,0.4,1104,0.352609,1.754305
0.1,0.1,0.2,0.3,0.3,1103,0.352826,1.733223
0.1,0.1,0.2,0.4,0.2,1211,0.352174,1.746649
0.1,0.1,0.2,0.5,0.1,1047,0.352174,1.717572
0.1,0.1,0.3,0.1,0.4,1070,0.397826,1.627643
0.1,0.1,0.3,0.2,0.3,1087,0.346522,1.784381
0.1,0.1,0.3,0.3,0.2,1173,0.356087,1.717747
0.1,0.1,0.3,0.4,0.1,1127,0.347391,1.766379
0.1,0.1,0.4,0.1,0.3,1208,0.372174,1.733373
0.1,0.1,0.4,0.2,0.2,1062,0.360652,1.751822
0.1,0.1,0.4,0.3,0.1,1158,0.354348,1.767375
0.1,0.1,0.5,0.1,0.2,1067,0.352174,1.752499
0.1,0.1,0.5,0.2,0.1,1092,0.349348,1.715700
0.1,0.1,0.6,0.1,0.1,1099,0.306087,1.862187
0.1,0.2,0.1,0.1,0.5,1124,0.384783,1.680818
0.1,0.2,0.1,0.2,0.4,1110,0.366739,1.776716
0.1,0.2,0.1,0.3,0.3,1082,0.356739,1.776764
0.1,0.2,0.1,0.4,0.2,1135,0.318913,1.822147
0.1,0.2,0.1,0.5,0.1,1061,0.379130,1.728075
0.1,0.2,0.2,0.1,0.4,1064,0.356304,1.746831
0.1,0.2,0.2,0.2,0.3,1082,0.334681,1.754020
0.1,0.2,0.2,0.3,0.2,1222,0.385652,1.688684
0.1,0.2,0.2,0.4,0.1,1092,0.375000,1.697249
0.1,0.2,0.3,0.1,0.3,1048,0.369130,1.697923
0.1,0.2,0.3,0.2,0.2,1136,0.372391,1.680783
0.1,0.2,0.3,0.3,0.1,1232,0.386304,1.697917
0.1,0.2,0.4,0.1,0.2,1281,0.362826,1.781935
0.1,0.2,0.4,0.2,0.1,1123,0.362609,1.735770
0.1,0.2,0.5,0.1,0.1,1060,0.393478,1.688642
0.1,0.3,0.1,0.1,0.4,1138,0.399783,1.648304
0.1,0.3,0.1,0.2,0.3,1056,0.388261,1.694913
0.1,0.3,0.1,0.3,0.2,1253,0.305000,1.860590
0.1,0.3,0.1,0.4,0.1,1086,0.341304,1.791923
0.1,0.3,0.2,0.1,0.3,1099,0.365652,1.723469
0.1,0.3,0.2,0.2,0.2,1217,0.353478,1.773043
0.1,0.3,0.2,0.3,0.1,1198,0.337391,1.801942
0.1,0.3,0.3,0.1,0.2,1219,0.346957,1.764654
0.1,0.3,0.3,0.2,0.1,1221,0.363913,1.718109
0.1,0.3,0.4,0.1,0.1,1082,0.396889,1.637577
0.1,0.4,0.1,0.1,0.3,1179,0.301087,1.871193
0.1,0.4,0.1,0.2,0.2,1174,0.316522,1.841068
0.1,0.4,0.1,0.3,0.1,1087,0.395000,1.680143
0.1,0.4,0.2,0.1,0.2,1253,0.349130,1.752774
0.1,0.4,0.2,0.2,0.1,1083,0.368696,1.791296
0.1,0.4,0.3,0.1,0.1,1133,0.353478,1.716422
0.1,0.5,0.1,0.1,0.2,1085,0.355000,1.753390
0.1,0.5,0.1,0.2,0.1,1161,0.351957,1.743436
0.1,0.5,0.2,0.1,0.1,1146,0.310217,1.846699
0.1,0.6,0.1,0.1,0.1,1121,0.334565,1.853789
0.2,0.1,0.1,0.1,0.5,1234,0.345217,1.799541
0.2,0.1,0.1,0.2,0.4,1142,0.317609,1.755851
0.2,0.1,0.1,0.3,0.3,1109,0.338478,1.760602
0.2,0.1,0.1,0.4,0.2,1133,0.403043,1.669977
0.2,0.1,0.1,0.5,0.1,1178,0.346739,1.806862
0.2,0.1,0.2,0.1,0.4,1080,0.365217,1.728328
0.2,0.1,0.2,0.2,0.3,1109,0.340870,1.826532
0.2,0.1,0.2,0.3,0.2,1146,0.374130,1.729027
0.2,0.1,0.2,0.4,0.1,1157,0.299130,1.893646
0.2,0.1,0.3,0.1,0.3,1163,0.350870,1.759671
0.2,0.1,0.3,0.2,0.2,1068,0.350870,1.710777
0.2,0.1,0.3,0.3,0.1,1140,0.308696,1.877599
0.2,0.1,0.4,0.1,0.2,1081,0.368667,1.741040
0.2,0.1,0.4,0.2,0.1,1193,0.360652,1.701842
0.2,0.1,0.5,0.1,0.1,1062,0.360435,1.750710
0.2,0.2,0.1,0.1,0.4,1266,0.371087,1.726571
0.2,0.2,0.1,0.2,0.3,1126,0.371957,1.741803
0.2,0.2,0.1,0.3,0.2,1105,0.348261,1.775880
0.2,0.2,0.1,0.4,0.1,1175,0.357609,1.731240
0.2,0.2,0.2,0.1,0.3,1077,0.358261,1.745697
0.2,0.2,0.2,0.2,0.2,1087,0.357609,1.686292
0.2,0.2,0.2,0.3,0.1,1046,0.303043,1.802414
0.2,0.2,0.3,0.1,0.2,1137,0.379565,1.695879
0.2,0.2,0.3,0.2,0.1,1055,0.391304,1.633493
0.2,0.2,0.4,0.1,0.1,1039,0.379348,1.718208
0.2,0.3,0.1,0.1,0.3,1176,0.383043,1.681428
0.2,0.3,0.1,0.2,0.2,1161,0.345652,1.755220
0.2,0.3,0.1,0.3,0.1,1104,0.351304,1.767818
0.2,0.3,0.2,0.1,0.2,1178,0.333913,1.775410
0.2,0.3,0.2,0.2,0.1,1137,0.393043,1.626012
0.2,0.3,0.3,0.1,0.1,1144,0.368261,1.746676
0.2,0.4,0.1,0.1,0.2,1066,0.363696,1.805107
0.2,0.4,0.1,0.2,0.1,1087,0.330217,1.854416
0.2,0.4,0.2,0.1,0.1,1058,0.348913,1.739085
0.2,0.5,0.1,0.1,0.1,1061,0.367174,1.710720
0.3,0.1,0.1,0.1,0.4,4794,0.370000,1.725048
0.3,0.1,0.1,0.2,0.3,1064,0.391522,1.676272
0.3,0.1,0.1,0.3,0.2,1092,0.344783,1.757508
0.3,0.1,0.1,0.4,0.1,1084,0.335000,1.761473
0.3,0.1,0.2,0.1,0.3,1157,0.346522,1.772835
0.3,0.1,0.2,0.2,0.2,1213,0.376957,1.707760
0.3,0.1,0.2,0.3,0.1,1163,0.344681,1.778969
0.3,0.1,0.3,0.1,0.2,1108,0.353617,1.846871
0.3,0.1,0.3,0.2,0.1,1124,0.334565,1.821930
0.3,0.1,0.4,0.1,0.1,1216,0.343913,1.742990
0.3,0.2,0.1,0.1,0.3,1099,0.363913,1.760186
0.3,0.2,0.1,0.2,0.2,1050,0.334130,1.793526
0.3,0.2,0.1,0.3,0.1,1119,0.343478,1.789506
0.3,0.2,0.2,0.1,0.2,1215,0.320652,1.849799
0.3,0.2,0.2,0.2,0.1,1079,0.348261,1.774308
0.3,0.2,0.3,0.1,0.1,1088,0.301739,1.877320
0.3,0.3,0.1,0.1,0.2,1209,0.360889,1.728847
0.3,0.3,0.1,0.2,0.1,1161,0.361957,1.712398
0.3,0.3,0.2,0.1,0.1,1059,0.349130,1.754665
0.3,0.4,0.1,0.1,0.1,1120,0.381739,1.736904
0.4,0.1,0.1,0.1,0.3,1191,0.338913,1.821046
0.4,0.1,0.1,0.2,0.2,1074,0.374348,1.770207
0.4,0.1,0.1,0.3,0.1,1065,0.400435,1.647655
0.4,0.1,0.2,0.1,0.2,1118,0.328696,1.805409
0.4,0.1,0.2,0.2,0.1,1169,0.338043,1.767965
0.4,0.1,0.3,0.1,0.1,1072,0.361522,1.767221
0.4,0.2,0.1,0.1,0.2,1042,0.320217,1.833661
0.4,0.2,0.1,0.2,0.1,1091,0.358696,1.747175
0.4,0.2,0.2,0.1,0.1,1142,0.345652,1.739403
0.4,0.3,0.1,0.1,0.1,1066,0.273696,1.908065
0.5,0.1,0.1,0.1,0.2,1102,0.340435,1.780649
0.5,0.1,0.1,0.2,0.1,1069,0.328261,1.797212
0.5,0.1,0.2,0.1,0.1,1051,0.354348,1.744602
0.5,0.2,0.1,0.1,0.1,1089,0.305217,1.886536
0.6,0.1,0.1,0.1,0.1,1102,0.309565,1.915607
1.0,0.0,0.0,0.0,0.0,1194,0.359348,1.690476
0.0,1.0,0.0,0.0,0.0,1110,0.384348,1.708486
0.0,0.0,1.0,0.0,0.0,1111,0.360652,1.766533
0.0,0.0,0.0,1.0,0.0,1105,0.359565,1.780066
0.0,0.0,0.0,0.0,1.0,1100,0.377174,1.717616
